seed,n,m,mu,run,generations,max_generations,diversity,fitness,opt,alpha,algorithm,mutation
307,5,3,2,7,7,50,1,0,0,0.5,Mu1-const,1RAI
386,5,3,2,8,3,50,1,0,0,0.5,Mu1-const,1RAI
475,5,3,2,9,5,50,1,0,0,0.5,Mu1-const,1RAI
574,5,3,2,10,6,50,1,0,0,0.5,Mu1-const,1RAI
683,5,3,2,11,11,50,1,0,0,0.5,Mu1-const,1RAI
802,5,3,2,12,5,50,1,0,0,0.5,Mu1-const,1RAI
931,5,3,2,13,11,50,1,0,0,0.5,Mu1-const,1RAI
1070,5,3,2,14,4,50,1,0,0,0.5,Mu1-const,1RAI
1219,5,3,2,15,10,50,1,0,0,0.5,Mu1-const,1RAI
1378,5,3,2,16,16,50,1,0,0,0.5,Mu1-const,1RAI
1547,5,3,2,17,6,50,1,0,0,0.5,Mu1-const,1RAI
1726,5,3,2,18,6,50,1,0,0,0.5,Mu1-const,1RAI
1915,5,3,2,19,6,50,1,0,0,0.5,Mu1-const,1RAI
2114,5,3,2,20,2,50,1,0,0,0.5,Mu1-const,1RAI
2323,5,3,2,21,3,50,1,0,0,0.5,Mu1-const,1RAI
2542,5,3,2,22,4,50,1,0,0,0.5,Mu1-const,1RAI
2771,5,3,2,23,16,50,1,0,0,0.5,Mu1-const,1RAI
3010,5,3,2,24,5,50,1,0,0,0.5,Mu1-const,1RAI
3259,5,3,2,25,5,50,1,0,0,0.5,Mu1-const,1RAI
3518,5,3,2,26,4,50,1,0,0,0.5,Mu1-const,1RAI
3787,5,3,2,27,8,50,1,0,0,0.5,Mu1-const,1RAI
4066,5,3,2,28,6,50,1,0,0,0.5,Mu1-const,1RAI
4355,5,3,2,29,5,50,1,0,0,0.5,Mu1-const,1RAI
501,100,1,2,0,719,20000,1,-80,-67,0.2,Mu1-const,XRAI_0.250000
603,100,1,2,1,180,20000,1,-79,-66,0.2,Mu1-const,XRAI_0.250000
905,100,1,2,2,345,20000,1,-81,-69,0.2,Mu1-const,XRAI_0.250000
1407,100,1,2,3,152,20000,1,-84,-70,0.2,Mu1-const,XRAI_0.250000
2109,100,1,2,4,291,20000,1,-80,-67,0.2,Mu1-const,XRAI_0.250000
3011,100,1,2,5,209,20000,1,-79,-66,0.2,Mu1-const,XRAI_0.250000
4113,100,1,2,6,222,20000,1,-79,-67,0.2,Mu1-const,XRAI_0.250000
5415,100,1,2,7,324,20000,1,-80,-69,0.2,Mu1-const,XRAI_0.250000
6917,100,1,2,8,295,20000,1,-81,-68,0.2,Mu1-const,XRAI_0.250000
8619,100,1,2,9,479,20000,1,-75,-64,0.2,Mu1-const,XRAI_0.250000
10521,100,1,2,10,179,20000,1,-81,-69,0.2,Mu1-const,XRAI_0.250000
12623,100,1,2,11,230,20000,1,-81,-68,0.2,Mu1-const,XRAI_0.250000
14925,100,1,2,12,182,20000,1,-79,-69,0.2,Mu1-const,XRAI_0.250000
17427,100,1,2,13,202,20000,1,-79,-70,0.2,Mu1-const,XRAI_0.250000
20129,100,1,2,14,161,20000,1,-77,-68,0.2,Mu1-const,XRAI_0.250000
23031,100,1,2,15,122,20000,1,-80,-68,0.2,Mu1-const,XRAI_0.250000
